Rater ID,Gender,Age,Nationality
pca_01,female,21,Lithuania
pca_02,male,28,France
pca_03,male,33,Canada
pca_04,male,28,UK
pca_06,female,24,Belgium
pca_07,male,53,German
pca_05,male,27,Spain
pca_08,male,26,Ireland
pca_09,male,33,France
pca_10,female,24,Czech Republic
pca_11,male,24,Sweden
pca_12,male,19,Slovak
pca_14,female,22,UK
pca_13,male,20,USA
pca_15,male,32,USA
pca_16,male,32,Italy
pca_17,male,27,Norway
pca_18,male,24,Czech Republic
pca_19,male,23,Czech Republic
pca_20,female,22,France
